time,open,high,low,close,volumefrom,volumeto,fiat
2021-02-16 10:00:00,49295.33,49339.3,48795.5,49024.52,1482.26,72772037.28,USD
2021-02-16 11:00:00,49024.52,49103.83,48724.15,48913.27,1058.79,51799772.36,USD
2021-02-16 12:00:00,48913.27,50561.53,48454.48,49624.03,11309.58,561906635.98,USD
2021-02-16 13:00:00,49624.03,49756.24,48858.93,48893.93,3102.31,152774823.1,USD
2021-02-16 14:00:00,48893.93,49441.96,48689.84,49298.42,2920.21,143291541.2,USD
2021-02-16 15:00:00,49298.42,49526.65,48973.46,48992.16,2382.78,117417301.1,USD
2021-02-16 16:00:00,48992.16,49280.98,48105.62,48134.66,4269.69,207885990.78,USD
2021-02-16 17:00:00,48134.66,48594.47,48131.49,48268.84,2931.35,141909980.5,USD
2021-02-16 18:00:00,48268.84,48719.04,47837.15,48664.96,3277.15,158037890.37,USD
2021-02-16 19:00:00,48664.96,48795.88,48391.48,48572.47,1453.72,70668901.85,USD
2021-02-16 20:00:00,48572.47,48794.8,48247.54,48790.71,1551.36,75244687.84,USD
2021-02-16 21:00:00,48790.71,48817.29,48401.18,48573.97,2458.88,119478032.13,USD
2021-02-16 22:00:00,48573.97,49160.44,48530.59,49127.18,2053.94,100188213.61,USD
2021-02-16 23:00:00,49127.18,49287.36,48952.93,49184.63,2000.6,98289258.92,USD
2021-02-17 00:00:00,49184.63,49547.67,49032.46,49048.79,2003.23,98912455.82,USD
2021-02-17 01:00:00,49048.79,49392.59,48967.72,49294.03,944.36,46485647.02,USD
2021-02-17 02:00:00,49294.03,50216.3,49284.55,49683.16,4221.67,210583346.5,USD
2021-02-17 03:00:00,49683.16,49736.13,49265.61,49655.23,1976.05,97799488.61,USD
2021-02-17 04:00:00,49655.23,49936.35,49144.48,49375.77,1745.16,86371719.71,USD
2021-02-17 05:00:00,49375.77,49736.18,49276.38,49720.99,1263.43,62553563.93,USD
2021-02-17 06:00:00,49720.99,50707.5,49667.16,50604.68,5863.12,294788518.48,USD
2021-02-17 07:00:00,50604.68,51249.21,50315.03,51155.31,5602.76,284807418.67,USD
2021-02-17 08:00:00,51155.31,51271.21,50664.95,51065.31,3220.9,164057416.19,USD
2021-02-17 09:00:00,51065.31,51728.14,51065.31,51506.63,3383.57,174001325.88,USD
2021-02-17 10:00:00,51506.63,51659.31,51135.22,51239.29,2252.59,115787350.12,USD
2021-02-17 11:00:00,51239.29,51703.38,51170.49,51282.33,2214.03,113884206.0,USD
2021-02-17 12:00:00,51282.33,51530.44,50806.07,51042.81,3230.27,165458434.5,USD
2021-02-17 13:00:00,51042.81,51213.13,50521.0,51152.45,3173.86,161389615.64,USD
2021-02-17 14:00:00,51152.45,51258.38,50757.06,51252.3,2447.91,124849993.98,USD
2021-02-17 15:00:00,51252.3,51623.81,50998.8,51166.43,2907.5,149081974.24,USD
2021-02-17 16:00:00,51166.43,51447.48,50786.24,51235.74,2642.79,134948567.44,USD
2021-02-17 17:00:00,51235.74,51440.77,51121.64,51374.4,1855.71,95121965.71,USD
2021-02-17 18:00:00,51374.4,51746.86,51319.55,51439.1,2251.53,115975050.82,USD
2021-02-17 19:00:00,51439.1,52351.89,51391.37,52133.31,4119.86,214112322.91,USD
2021-02-17 20:00:00,52133.31,52569.2,51980.6,52269.08,3196.01,167170184.22,USD
2021-02-17 21:00:00,52269.08,52622.68,52073.86,52391.7,2606.24,136481322.94,USD
2021-02-17 22:00:00,52391.7,52412.7,51997.14,52133.95,2024.95,105698488.28,USD
2021-02-17 23:00:00,52133.95,52408.58,51969.32,52154.91,1728.94,90198366.68,USD
2021-02-18 00:00:00,52154.91,52550.6,52144.17,52319.33,1590.31,83301945.11,USD
2021-02-18 01:00:00,52299.5,52443.14,51046.47,52151.45,88304.46,4605205531.49,USD
2021-02-18 02:00:00,52168.07,52380.14,51985.69,52370.97,1358.19,70859296.74,USD
2021-02-18 03:00:00,52370.97,52437.53,51989.59,52030.02,1287.66,67163679.58,USD
2021-02-18 04:00:00,52030.02,52216.6,51734.71,52194.32,1814.49,94257338.54,USD
2021-02-18 05:00:00,52194.32,52333.71,52065.67,52211.05,1129.13,58943166.27,USD
2021-02-18 06:00:00,52211.05,52260.34,51922.19,51958.94,772.44,40218793.35,USD
2021-02-18 07:00:00,51958.94,52070.83,51347.92,51941.65,2744.11,141806806.02,USD
2021-02-18 08:00:00,51941.65,52152.42,51567.27,51726.88,1357.3,70373291.47,USD
2021-02-18 09:00:00,51726.88,51864.14,51467.87,51775.93,1603.46,82817815.23,USD
2021-02-18 10:00:00,51775.93,51974.28,51546.49,51638.9,1155.68,59844600.91,USD
2021-02-18 11:00:00,51638.9,51699.14,51106.91,51342.66,2084.74,107133188.04,USD
2021-02-18 12:00:00,51342.66,51596.37,50874.81,51459.86,2395.86,122680727.18,USD
2021-02-18 13:00:00,51459.86,52023.33,51280.63,51816.31,1636.9,84626853.27,USD
2021-02-18 14:00:00,51816.31,52285.26,51646.94,52272.98,2107.97,109544603.44,USD
2021-02-18 15:00:00,52272.98,52286.89,51433.36,51545.61,3538.28,182973541.21,USD
2021-02-18 16:00:00,51545.61,52061.89,51467.22,52057.78,2271.75,117691909.47,USD
2021-02-18 17:00:00,52057.78,52057.97,51775.0,51841.94,1494.85,77604463.45,USD
2021-02-18 18:00:00,51841.94,52155.32,51775.27,51842.27,1530.21,79547461.69,USD
2021-02-18 19:00:00,51842.27,52048.94,51711.91,51774.13,1169.29,60679348.14,USD
2021-02-18 20:00:00,51774.13,52141.98,51555.14,52140.75,2598.63,135053579.43,USD
2021-02-18 21:00:00,52140.75,52205.65,51921.12,52043.36,2281.52,118842515.03,USD
2021-02-18 22:00:00,52043.36,52080.46,51667.89,51869.05,1084.92,56255791.11,USD
2021-02-18 23:00:00,51869.05,51941.49,51541.55,51591.61,1196.85,61857965.15,USD
2021-02-19 00:00:00,51591.61,51928.79,51475.78,51506.24,1662.43,85934157.5,USD
2021-02-19 01:00:00,51506.24,51695.34,51156.46,51298.3,1872.14,96189306.66,USD
2021-02-19 02:00:00,51298.3,51298.61,50766.83,51231.25,4274.82,218099657.0,USD
2021-02-19 03:00:00,51231.25,51459.87,51187.58,51221.62,1100.74,56506956.95,USD
2021-02-19 04:00:00,51221.62,51474.42,50901.98,51123.78,1269.15,64877821.62,USD
2021-02-19 05:00:00,51123.78,51510.84,51123.78,51495.53,1048.39,53806835.33,USD
2021-02-19 06:00:00,51495.53,51780.84,51493.66,51693.12,1025.91,52972999.62,USD
2021-02-19 07:00:00,51693.12,51861.4,51644.8,51711.03,1126.63,58285009.31,USD
2021-02-19 08:00:00,51711.03,52221.58,51696.99,52194.79,1640.22,85128351.0,USD
2021-02-19 09:00:00,52194.79,52889.34,52194.36,52662.77,4297.68,226238963.87,USD
2021-02-19 10:00:00,52662.77,52929.26,52616.8,52670.31,1317.66,69559320.98,USD
2021-02-19 11:00:00,52670.31,52828.98,52508.76,52688.89,1119.47,59007603.55,USD
2021-02-19 12:00:00,52688.89,52715.27,52520.41,52527.87,1246.91,65635826.94,USD
2021-02-19 13:00:00,52527.87,52808.74,52369.69,52795.02,2035.99,107113416.18,USD
2021-02-19 14:00:00,52795.02,53264.75,52662.14,52916.54,3518.07,186313598.55,USD
2021-02-19 15:00:00,52916.54,53891.01,52851.96,53883.02,4765.5,254840929.57,USD
2021-02-19 16:00:00,53883.02,54861.83,53658.33,54363.05,7019.92,380952347.44,USD
2021-02-19 17:00:00,54363.05,54783.15,54088.6,54780.61,3386.83,184675703.03,USD
2021-02-19 18:00:00,54780.61,55396.54,54608.84,55373.03,5458.3,300009702.31,USD
2021-02-19 19:00:00,55373.03,55737.44,54631.71,55033.02,5581.05,307805567.46,USD
2021-02-19 20:00:00,55033.02,55661.88,54833.93,55352.55,4648.67,256938022.17,USD
2021-02-19 21:00:00,55352.55,56331.09,55335.79,55628.96,6373.02,356209969.45,USD
2021-02-19 22:00:00,55628.96,55753.01,55124.5,55459.57,2888.67,160218361.16,USD
2021-02-19 23:00:00,55459.57,55976.46,55394.57,55933.47,2090.32,116552766.26,USD
2021-02-20 00:00:00,55933.47,56488.1,55373.26,56237.23,4060.08,227232469.11,USD
2021-02-20 01:00:00,56237.23,56575.28,55951.45,56213.72,2141.25,120541988.31,USD
2021-02-20 02:00:00,56213.72,56413.87,56008.28,56159.92,1730.46,97358386.05,USD
2021-02-20 03:00:00,56159.92,56258.97,55526.21,55718.08,2301.87,128653794.09,USD
2021-02-20 04:00:00,55718.08,56171.53,55567.86,55856.83,1777.2,99338833.16,USD
2021-02-20 05:00:00,55856.83,55961.8,55582.32,55675.69,1070.74,59707675.96,USD
2021-02-20 06:00:00,55675.69,55978.89,55617.51,55975.92,807.86,45092295.38,USD
2021-02-20 07:00:00,55975.92,55980.81,55239.94,55250.2,1512.13,84051963.61,USD
2021-02-20 08:00:00,55250.2,55689.58,55242.09,55257.18,969.35,53747584.12,USD
2021-02-20 09:00:00,55257.18,55509.61,55058.52,55282.49,978.16,54106194.94,USD
2021-02-20 10:00:00,55282.49,55921.48,55242.56,55917.53,904.18,50336517.13,USD
2021-02-20 11:00:00,55917.53,56345.04,55780.34,56344.5,1363.89,76325636.14,USD
2021-02-20 12:00:00,56344.5,57496.62,56292.66,57283.47,3642.52,207672550.61,USD
2021-02-20 13:00:00,57283.47,57528.16,56952.85,57298.4,1733.71,99259811.97,USD
2021-02-20 14:00:00,57298.4,57427.58,56194.15,56326.33,2648.91,150856917.48,USD
2021-02-20 15:00:00,56326.33,56801.6,55842.27,56167.33,3197.88,179890487.11,USD
2021-02-20 16:00:00,56167.33,56960.2,56167.33,56749.39,2169.55,122698338.21,USD
2021-02-20 17:00:00,56749.39,57463.44,56748.45,57074.36,2752.3,157333158.73,USD
2021-02-20 18:00:00,57074.36,57180.66,56865.58,57118.0,1378.3,78613386.93,USD
2021-02-20 19:00:00,57118.0,57246.13,56770.76,57001.13,1634.4,93162014.0,USD
2021-02-20 20:00:00,57001.13,57067.77,56627.29,56760.2,1331.21,75624448.14,USD
2021-02-20 21:00:00,56760.2,56896.68,56281.41,56539.87,1699.12,96152673.01,USD
2021-02-20 22:00:00,56539.87,56539.87,54140.61,55479.77,7069.99,390595708.0,USD
2021-02-20 23:00:00,55479.77,56188.58,55420.99,55900.84,2656.1,148162588.08,USD
2021-02-21 00:00:00,55900.84,56059.16,55516.07,55835.07,1731.39,96574979.12,USD
2021-02-21 01:00:00,55835.07,56361.31,55742.46,56358.16,1196.51,67027584.87,USD
2021-02-21 02:00:00,56358.16,56657.03,56293.15,56366.14,1184.73,66907274.07,USD
2021-02-21 03:00:00,56366.14,56886.14,56308.26,56529.19,1146.21,64946417.25,USD
2021-02-21 04:00:00,56529.19,56720.66,56139.6,56692.93,882.53,49813828.69,USD
2021-02-21 05:00:00,56692.93,56948.43,56554.27,56574.75,788.21,44723844.47,USD
2021-02-21 06:00:00,56574.75,56619.57,56274.88,56509.55,705.27,39840116.25,USD
2021-02-21 07:00:00,56509.55,56614.48,55943.01,56096.93,928.01,52182103.29,USD
2021-02-21 08:00:00,56096.93,56667.12,55862.77,56538.68,792.24,44578502.0,USD
2021-02-21 09:00:00,56538.68,56841.71,56396.84,56817.09,631.55,35717273.12,USD
2021-02-21 10:00:00,56817.09,57812.94,56691.27,57555.54,3170.68,182053255.92,USD
2021-02-21 11:00:00,57555.54,57561.72,57254.67,57310.29,1005.88,57718522.54,USD
2021-02-21 12:00:00,57310.29,57461.6,56667.8,56935.14,1587.87,90672669.37,USD
2021-02-21 13:00:00,56935.14,57244.8,56929.55,57197.01,817.89,46725436.84,USD
2021-02-21 14:00:00,57197.01,57480.66,56869.46,57440.89,1322.76,75718466.23,USD
2021-02-21 15:00:00,57440.89,57587.95,57244.88,57352.81,1143.49,65647750.57,USD
2021-02-21 16:00:00,57352.81,57779.95,57085.33,57745.77,1506.36,86587456.73,USD
2021-02-21 17:00:00,57745.77,57764.61,57424.05,57532.24,1156.81,66645018.68,USD
2021-02-21 18:00:00,57532.24,58264.03,57387.74,58188.67,2792.77,161712342.28,USD
2021-02-21 19:00:00,58188.67,58348.75,57981.87,58101.63,1749.79,101813082.6,USD
2021-02-21 20:00:00,58101.63,58260.24,57531.74,57718.26,1966.7,113922460.81,USD
2021-02-21 21:00:00,57718.26,57934.31,57254.34,57354.6,2342.39,134932349.96,USD
2021-02-21 22:00:00,57354.6,57638.2,57012.95,57368.02,1582.02,90668733.95,USD
2021-02-21 23:00:00,57368.02,57600.56,57165.42,57469.95,1368.21,78620115.29,USD
2021-02-22 00:00:00,57469.95,57540.74,56281.71,56282.87,3939.08,223769686.6,USD
2021-02-22 01:00:00,56282.87,57047.99,56094.4,56884.39,2861.91,162208233.26,USD
2021-02-22 02:00:00,56884.39,57270.31,56391.78,56908.49,2976.99,169052570.73,USD
2021-02-22 03:00:00,56908.49,57068.39,55815.73,55889.89,2818.6,158778440.3,USD
2021-02-22 04:00:00,55889.89,56247.19,55131.72,55829.12,4218.19,234717051.23,USD
2021-02-22 05:00:00,55829.12,56406.23,55687.71,55861.4,2076.96,116338961.81,USD
2021-02-22 06:00:00,55861.4,56380.46,55719.81,56045.03,1529.74,85948436.15,USD
2021-02-22 07:00:00,56045.03,56563.3,55693.19,56472.13,1436.59,80692475.7,USD
2021-02-22 08:00:00,56472.13,56626.99,55410.94,55470.58,2425.33,135755481.18,USD
2021-02-22 09:00:00,55470.58,55745.74,54393.05,54613.95,4014.07,221315555.55,USD
2021-02-22 10:00:00,54613.95,55089.06,53682.47,54839.49,5697.25,309702063.35,USD
2021-02-22 11:00:00,54839.49,55251.93,54417.96,54519.31,2757.54,151262591.45,USD
2021-02-22 12:00:00,54519.31,54621.83,52706.59,53756.03,8878.24,474897035.76,USD
2021-02-22 13:00:00,53756.03,53987.4,52005.46,52009.08,9409.69,497903028.06,USD
2021-02-22 14:00:00,52009.08,53510.26,48194.31,53479.75,32894.36,1681211656.95,USD
2021-02-22 15:00:00,53479.75,53968.1,52717.78,53290.54,9818.02,524784756.6,USD
2021-02-22 16:00:00,53290.54,53843.21,52823.25,53176.92,4419.51,235996247.0,USD
2021-02-22 17:00:00,53176.92,53272.05,52012.81,52088.31,4833.46,254432921.36,USD
2021-02-22 18:00:00,52088.31,53481.57,51590.04,53238.58,6322.76,331256881.63,USD
2021-02-22 19:00:00,53238.58,53734.16,52978.84,53632.04,2739.58,146416929.44,USD
2021-02-22 20:00:00,53632.04,54383.38,53500.51,53860.99,4961.19,268459880.74,USD
2021-02-22 21:00:00,53860.99,54928.8,53724.68,54928.73,3680.7,200130155.58,USD
2021-02-22 22:00:00,54928.73,55021.12,53853.22,54119.84,3160.88,172022461.57,USD
2021-02-22 23:00:00,54119.84,54377.24,53335.93,54121.17,2935.7,158108939.09,USD
2021-02-23 00:00:00,54121.17,54164.35,53101.61,53447.8,2652.91,142004354.2,USD
2021-02-23 01:00:00,53447.8,53923.15,52299.43,52511.15,2969.22,157160801.18,USD
2021-02-23 02:00:00,52511.15,52846.25,50887.67,51170.61,5500.11,284576148.24,USD
2021-02-23 03:00:00,51170.61,52445.69,51113.75,51844.55,4597.59,238304397.19,USD
2021-02-23 04:00:00,51844.55,52272.55,49680.99,50690.17,7958.29,403623454.98,USD
2021-02-23 05:00:00,50690.17,50708.65,48566.51,49927.67,12393.62,614197565.72,USD
2021-02-23 06:00:00,49927.67,51218.27,49366.98,49518.45,5381.12,270689055.13,USD
2021-02-23 07:00:00,49518.45,50468.97,49275.9,49640.13,3556.11,177511477.56,USD
2021-02-23 08:00:00,49640.13,49922.63,46615.38,46618.38,13852.33,666448344.92,USD
2021-02-23 09:00:00,46618.38,48701.68,45161.08,48046.76,15868.75,747546164.04,USD
2021-02-23 10:00:00,48046.76,48951.53,46557.63,47484.88,6768.71,322254716.61,USD
2021-02-23 11:00:00,47484.88,48230.13,44983.39,46395.18,13857.57,638942723.03,USD
2021-02-23 12:00:00,46395.18,49429.14,45795.62,48704.17,11698.95,554937019.54,USD
2021-02-23 13:00:00,48704.17,49578.48,48068.78,48756.26,6605.41,322322519.47,USD
2021-02-23 14:00:00,48756.26,49110.6,45860.67,46963.21,8436.66,399322601.28,USD
2021-02-23 15:00:00,46963.21,49301.33,46635.97,48603.41,7718.49,372642625.98,USD
2021-02-23 16:00:00,48603.41,49215.73,47189.76,47299.02,5847.9,280334641.22,USD
2021-02-23 17:00:00,47299.02,48130.22,46828.15,47139.68,4821.16,228286176.44,USD
2021-02-23 18:00:00,47139.68,47719.21,46505.41,46846.64,3684.68,173579268.92,USD
2021-02-23 19:00:00,46846.64,47242.79,45486.51,45507.19,5630.79,259892969.75,USD
