id,symbol,partner_symbol,data_available_from
884902,GSC,GSC,2018-02-28 00:00:00
929241,GST,GST,2018-05-03 00:00:00
667239,GTC,GTC,2017-10-26 00:00:00
517477,GTO,GTO,2017-12-13 00:00:00
327608,GUESS,GUESS,2017-12-10 00:00:00
67096,GUP,GUP,2017-04-30 00:00:00
925563,GUSD,GUSD,2018-09-09 00:00:00
929178,GVE,GVE,2017-12-26 00:00:00
385952,GVT,GVT,2017-10-15 00:00:00
925834,HAND,HAND,2018-01-20 00:00:00
911095,HB,HB,2018-03-23 00:00:00
247391,HBT,HBT,2017-09-09 00:00:00
758066,HBZ,HBZ,2018-01-26 00:00:00
928755,HEDG,HEDG,2018-12-07 00:00:00
897513,HER,HER,2018-04-17 00:00:00
905744,HERO,HERO,2018-03-08 00:00:00
234508,HGT,HGT,2017-08-25 00:00:00
925358,HIT,HIT,2018-07-18 00:00:00
517775,HKN,HKN,2017-09-15 00:00:00
836331,HMC,HMC,2017-08-30 00:00:00
72438,HMQ,HMQ,2017-05-08 00:00:00
716736,HORSE,HORSE,2018-01-09 00:00:00
675053,HPB,HPB,2017-08-24 00:00:00
930104,HPT,HPT,2018-08-22 00:00:00
926034,HQT,HQT,2018-07-17 00:00:00
535054,HQX,HQX,2017-09-14 00:00:00
919094,HSC,HSC,2018-04-03 00:00:00
374246,HST,HST,2017-10-05 00:00:00
771595,HT,HT,2018-01-31 00:00:00
849743,HUR,HUR,2017-12-13 00:00:00
179329,HVN,HVN,2017-08-31 00:00:00
930816,HYDRO,HYDRO,2018-03-15 00:00:00
901980,HYT,HYT,2018-08-30 00:00:00
928902,ICHX,ICHX,2018-11-15 00:00:00
25921,ICN,ICN,2016-10-24 00:00:00
35825,ICON,ICX,2017-09-19 00:00:00
708404,IDEX,IDEX,2018-01-18 00:00:00
708873,IDH,IDH,2017-11-08 00:00:00
929180,IDT,IDT,2018-01-13 00:00:00
920342,IDXM,IDXM,2018-01-18 00:00:00
667344,IETH,IETH,2017-10-13 00:00:00
185669,IFT,IFT,2017-07-14 00:00:00
925318,IG,IG,2018-07-21 00:00:00
925618,IHF,IHF,2018-05-15 00:00:00
831814,IHT,IHT,2018-01-31 00:00:00
925671,IMT,IMT,2018-06-23 00:00:00
185953,IND,IND,2017-08-08 00:00:00
750134,ING,ING,2018-02-01 00:00:00
370973,INS,INS,2017-12-26 00:00:00
819702,INSTAR,INSTAR,2018-02-28 00:00:00
692839,INT,INT,2017-08-27 00:00:00
819601,INVC,INV,2018-05-08 00:00:00
929389,INX,INX,2018-10-13 00:00:00
344988,INXT,INXT,2017-09-07 00:00:00
716522,IOST,IOST,2018-01-11 00:00:00
893122,IOTX,IOTX,2018-05-21 00:00:00
776863,IPC,IPC,2017-08-13 00:00:00
844540,IPSX,IPSX,2018-02-28 00:00:00
911125,IQN,IQN,2017-12-16 00:00:00
925093,ISR,ISR,2018-06-25 00:00:00
597629,ITC,ITC,2017-11-24 00:00:00
893326,ITL,ITL,2017-10-29 00:00:00
232678,ITT,ITT,2017-09-22 00:00:00
890611,IVY,IVY,2018-04-15 00:00:00
141171,IXT,IXT,2017-07-11 00:00:00
819799,J8T,J8T,2018-02-26 00:00:00
770043,JC,JC,2017-12-21 00:00:00
666891,JET,JET,2017-09-12 00:00:00
400702,JNT,JNT,2018-02-01 00:00:00
920327,JOINT,JOINT,2018-04-06 00:00:00
924231,JSE,JSE,2018-07-10 00:00:00
925339,KAN,KAN,2018-03-01 00:00:00
916868,KBC,KBC,2018-02-13 00:00:00
925195,KCASH,KCASH,2018-07-01 00:00:00
348628,KCS,KCS,2017-08-22 00:00:00
360299,KEY,KEY,2018-01-11 00:00:00
202849,KICK,KICK,2017-09-25 00:00:00
177918,KIN,KIN,2017-09-12 00:00:00
810794,KIND,KIND,2018-06-16 00:00:00
310497,KNC,KNC,2017-09-12 00:00:00
877048,KRL,KRL,2018-04-30 00:00:00
926296,KUE,KUE,2018-08-09 00:00:00
856128,KWH,KWH,2017-12-21 00:00:00
184163,LA,LA,2017-10-18 00:00:00
831848,LALA,LALA,2018-01-12 00:00:00
930306,LAMB,LAMB,2018-09-18 00:00:00
849939,LATX,LATX,2017-10-03 00:00:00
831841,LCS,LCS,2018-03-14 00:00:00
732021,LDC,LDC,2018-03-01 00:00:00
831932,LEDU,LEDU,2018-02-08 00:00:00
418778,LEND,LEND,2017-11-30 00:00:00
332804,LEV,LEV,2017-11-05 00:00:00
710370,LGO,LGO,2018-03-03 00:00:00
866491,LIF,LIF,2018-01-30 00:00:00
381189,LIFE,LIFE,2017-07-09 00:00:00
922038,LIKE,LIKE,2018-02-08 00:00:00
930883,LINA,LINA,2018-04-02 00:00:00
309621,LINK,LINK,2017-09-16 00:00:00
848906,LION,LION,2017-11-28 00:00:00
676288,LNC,LNC,2017-09-06 00:00:00
866546,LND,LND,2018-03-05 00:00:00
404890,LOCI,LOCI,2017-12-04 00:00:00
517896,LOCK,LOC,2017-09-26 00:00:00
836492,LOOM,LOOM,2018-03-03 00:00:00
926589,LPT,LPT,2018-04-30 00:00:00
926393,LQDN,LQD,2018-10-18 00:00:00
318169,LRC,LRC,2017-08-01 00:00:00
920896,LST,LST,2018-03-09 00:00:00
3808,LTC,LTC,2011-10-07 00:00:00
928921,LTO,LTO,2019-01-13 00:00:00
694313,LUC,LUC,2018-03-13 00:00:00
67447,LUN,LUN,2017-03-29 00:00:00
767260,LYM,LYM,2019-02-25 00:00:00
926091,M2O,M2O,2018-09-04 00:00:00
199148,MANA,MANA,2017-09-06 00:00:00
930246,MATIC,MATIC,2019-04-20 00:00:00
929583,MBTX,MBTX,2019-02-12 00:00:00
166548,MCO,MCO,2017-06-26 00:00:00
341279,MDA,MDA,2017-08-27 00:00:00
755707,MDCL,MTN,2018-01-31 00:00:00
667050,MDS,MDS,2017-11-25 00:00:00
916795,MEDX,MEDX,2018-05-28 00:00:00
836124,MEE,MEET,2018-04-02 00:00:00
925909,MENLO,ONE,2018-09-16 00:00:00
927515,META,META,2018-08-22 00:00:00
5373,METAL,MTL,2017-06-29 00:00:00
925936,METM,METM,2018-04-15 00:00:00
683500,MFG,MFG,2018-02-20 00:00:00
917211,MFT,MFT,2018-07-04 00:00:00
531426,MGO,MGO,2017-06-05 00:00:00
915386,MIC,MIC,2018-01-18 00:00:00
847172,MITH,MITH,2018-02-08 00:00:00
879004,MITX,MITX,2018-02-15 00:00:00
918566,MIXI,XIN,2017-11-24 00:00:00
41192,MKR,MKR,2017-11-25 00:00:00
45253,MLN,MLN,2019-01-26 00:00:00
929223,MNC,MNC,2018-09-08 00:00:00
84831,MNE,MNE,2017-04-22 00:00:00
240322,MNTP,MNTP,2017-09-19 00:00:00
925799,MOAC,MOAC,2018-06-17 00:00:00
925268,MOF,MOF,2017-12-20 00:00:00
926114,MOLK,MOLK,2018-05-14 00:00:00
716659,MOT,MOT,2017-12-18 00:00:00
887531,MRK,MRK,2017-10-20 00:00:00
892731,MRPH,MRPH,2018-06-23 00:00:00
885599,MTC,MTC,2018-02-04 00:00:00
208914,MTH,MTH,2017-08-31 00:00:00
885623,MTKN,MT,2018-03-11 00:00:00
484742,MTRC,MTRC,2017-12-11 00:00:00
257110,MTX,MTX,2017-09-06 00:00:00
928103,MVL,MVL,2018-05-31 00:00:00
770254,MWAT,MWAT,2018-01-15 00:00:00
732161,MXAI,MAN,2018-01-17 00:00:00
929811,MXM,MXM,2019-03-27 00:00:00
179345,MYB,MYB,2018-05-07 00:00:00
136190,MYST,MYST,2017-06-13 00:00:00
922271,NANJ,NANJ,2018-02-06 00:00:00
619555,NAS,NAS,2017-07-24 00:00:00
780767,NAVI,NAVI,2018-04-03 00:00:00
879035,NBAI,NBAI,2018-03-29 00:00:00
903748,NBC,NBC,2017-12-01 00:00:00
792548,NCASH,NCASH,2018-02-25 00:00:00
929933,NCC,NCC,2018-03-16 00:00:00
864038,NCT,NCT,2018-02-16 00:00:00
777007,NEC,NEC,2018-02-11 00:00:00
372377,NEU,NEU,2017-11-12 00:00:00
877073,NEXO,NEXO,2018-04-29 00:00:00
848051,NEXT,NEXT,2017-11-05 00:00:00
466339,NGC,NGC,2017-12-19 00:00:00
412112,NIO,NIO,2017-11-01 00:00:00
166594,NMR,NMR,2017-06-20 00:00:00
882302,NOAH,NOAH,2017-10-20 00:00:00
922838,NOBS,NOBS,2018-05-04 00:00:00
861276,NOKU,NOKU,2017-12-20 00:00:00
779335,NOX,NOX,2017-11-18 00:00:00
925242,NPER,NPER,2018-02-13 00:00:00
187015,NPX,NPX,2018-03-07 00:00:00
731516,NPXS,NPXS,2018-03-08 00:00:00
927360,NRG,NRG,2018-04-25 00:00:00
928390,NRP,NRP,2018-08-21 00:00:00
439180,NTK,NTK,2018-01-03 00:00:00
377792,NULS,NULS,2017-09-29 00:00:00
35678,NXC,NXC,2016-05-18 00:00:00
180013,OAX,OAX,2017-06-22 00:00:00
714255,OCN,OCN,2018-01-15 00:00:00
890624,ODE,ODE,2018-02-03 00:00:00
898898,OIO,OIO,2018-08-16 00:00:00
925144,OKB,OKB,2019-04-26 00:00:00
925133,OLE,OLE,2018-03-17 00:00:00
920779,OLT,OLT,2018-06-13 00:00:00
187440,OMG,OMG,2017-07-06 00:00:00
815543,OMX,OMX,2018-05-11 00:00:00
428300,ONG,ONG,2017-11-15 00:00:00
684364,ONL,ONL,2018-01-22 00:00:00
892524,OPEN,OPEN,2019-02-24 00:00:00
197054,OPT,OPT,2017-07-15 00:00:00
929872,ORBS,ORBS,2018-05-31 00:00:00
766681,ORI,ORI,2018-02-09 00:00:00
301112,ORME,ORME,2017-08-23 00:00:00
863174,ORS,ORS,2018-05-13 00:00:00
899568,OSA,OSA,2018-10-11 00:00:00
369132,OST,OST,2017-11-10 00:00:00
883061,PAL,PAL,2018-03-01 00:00:00
763768,PARETO,PARETO,2018-01-22 00:00:00
925433,PASS,PASS,2018-05-16 00:00:00
862146,PAT,PAT,2018-05-17 00:00:00
925939,PAX,PAX,2018-09-10 00:00:00
45260,PAY,PAY,2017-07-07 00:00:00
925256,PCH,PCH,2018-05-01 00:00:00
878206,PCL,PCL,2018-02-14 00:00:00
919014,PCO,PCO,2018-04-30 00:00:00
409155,PFR,PFR,2017-10-11 00:00:00
901929,PHI,PHI,2018-02-28 00:00:00
223283,PIX,PIX,2017-09-19 00:00:00
344086,PKT,PKT,2017-10-31 00:00:00
925240,PLA,PLA,2018-12-11 00:00:00
369251,PLAY,PLAY,2017-10-16 00:00:00
171884,PLBT,PLBT,2017-05-23 00:00:00
184298,PLR,PLR,2017-07-14 00:00:00
42837,PLU,PLU,2016-09-04 00:00:00
661398,PMA,PMA,2018-05-08 00:00:00
901954,PMNT,PMNT,2018-02-02 00:00:00
876093,PNT,PNT,2018-02-25 00:00:00
188811,POE,POE,2017-08-22 00:00:00
319130,POLL,POLL,2017-10-20 00:00:00
744820,POLY,POLY,2018-01-29 00:00:00
